# P7-3 effect/contrast retention (planted mode): retention error = |syn - real| / |real| per seed, aggregated by mean/median over seeds
# financial -> target=delta; vshape -> target=contrast (plant_xor also phi=xor interaction when present)
# series: chainnpm / privmrf(=privmrf+pertable, pertable preferred) / privpetal; denorm excluded; privpetal n=3 eps3.2 only; privbayes/pbpgm/lavaprop no planted data
dataset	mode	eps	t	series	target	n	real_mean	real_med	syn_mean	syn_med	ret_err_mean	ret_err_med
movielens	plant_product	0.8	0.400	privmrf	contrast	10	0.297345	0.296794	-0.000204	-0.000256	1.000691	1.000863
movielens	plant_product	3.2	0.100	chainnpm	contrast	10	0.109142	0.108670	0.125015	0.120299	0.272928	0.263158
movielens	plant_product	3.2	0.100	privmrf	contrast	10	0.109142	0.108670	-0.000796	-0.001253	1.007322	1.011492
movielens	plant_product	3.2	0.200	chainnpm	contrast	10	0.184524	0.184248	0.197130	0.196283	0.164594	0.155285
movielens	plant_product	3.2	0.200	privmrf	contrast	10	0.184524	0.184248	-0.000796	-0.001253	1.004298	1.006850
movielens	plant_product	3.2	0.316	chainnpm	contrast	10	0.298062	0.296675	0.310032	0.308871	0.103918	0.099643
movielens	plant_product	3.2	0.316	privmrf	contrast	10	0.298062	0.296675	-0.000796	-0.001253	1.002657	1.004241
movielens	plant_product	3.2	0.316	privpetal	contrast	3	0.276547	0.276547	-0.006340	-0.006926	1.022925	1.025046
movielens	plant_product	3.2	0.400	chainnpm	contrast	10	0.297345	0.296794	0.306489	0.306588	0.105619	0.103517
movielens	plant_product	3.2	0.400	privmrf	contrast	10	0.297345	0.296794	-0.000796	-0.001253	1.002669	1.004226
movielens	plant_xor	0.8	0.800	chainnpm	contrast	10	0.957739	0.977072	0.806171	0.802478	0.158341	0.151169
movielens	plant_xor	0.8	0.800	chainnpm	phi	10	0.818184	0.819237	0.591209	0.592110	0.277457	0.277232
movielens	plant_xor	0.8	0.800	privmrf	contrast	10	0.977564	0.977072	-0.000204	-0.000256	1.000209	1.000261
movielens	plant_xor	0.8	0.800	privmrf	phi	10	0.819378	0.819237	0.498710	0.498703	0.391355	0.391304
movielens	plant_xor	3.2	0.800	chainnpm	contrast	10	0.957739	0.977072	0.894264	0.893611	0.065080	0.074653
movielens	plant_xor	3.2	0.800	chainnpm	phi	10	0.818184	0.819237	0.591278	0.590174	0.277328	0.277927
movielens	plant_xor	3.2	0.800	privmrf	contrast	10	0.977564	0.977072	-0.000796	-0.001253	1.000816	1.001282
movielens	plant_xor	3.2	0.800	privmrf	phi	10	0.819378	0.819237	0.498609	0.498570	0.391479	0.391613
movielens	plant_xor	3.2	0.800	privpetal	contrast	3	0.777075	0.777075	0.004425	0.004572	0.994306	0.994116
movielens	plant_xor	3.2	0.800	privpetal	phi	3	0.806884	0.806884	0.503084	0.503761	0.376511	0.375671
